date,equity,cash,flow,adj_factor,equity_adj,daily_return
2026-08-08,1000000.0,1000000.0,0.0,1.0,1000000.0,
2026-08-11,999647.3,804041.76,0.0,1.0,999647.3,-0.0003526999999999836
2026-08-12,1001077.14,843810.7,0.0,1.0,1001077.14,0.001430344482499013
2026-08-13,1001771.19,817450.81,0.0,1.0,1001771.19,0.000693303215374419
2026-08-14,1002831.75,817223.3,0.0,1.0,1002831.75,0.0010586848679488003
2026-08-17,1003788.06,821030.49,0.0,1.0,1003788.06,0.0009536096159701302
2026-08-18,1003592.0,731020.62,0.0,1.0,1003592.0,-0.00019532011568268448
2026-08-19,1004577.2,649285.59,0.0,1.0,1004577.2,0.0009816738276111625
2026-08-20,1003274.07,603810.13,0.0,1.0,1003274.07,-0.001297192490532395
2026-08-21,1005345.17,733163.07,0.0,1.0,1005345.17,0.002064341202399511
2026-08-24,1006387.61,732204.7,0.0,1.0,1006387.61,0.0010368976060231017
2026-08-25,1007721.0,731134.88,0.0,1.0,1007721.0,0.0013249268837878247
2026-08-26,1009635.62,866378.98,0.0,1.0,1009635.62,0.0018999504823260516
2026-08-27,1011258.18,867026.25,0.0,1.0,1011258.18,0.0016070748375538457
2026-08-28,980623.81,867854.74,-30106.02,1.0306843537907515,1010713.6179216747,-0.0005384995534229997
2026-08-31,1012589.05,777694.26,29124.38,1.0009561076030993,1013557.1940895201,0.0028134341097458826
2026-09-01,1013821.88,798862.42,0.0,1.0009561076030993,1014791.2028076564,0.001217502796420522
